,Course Code,Course,EOS,Mid,Level,hei_code
0,AL801,Software Design with Virtual Reality and Gaming,304.0,328.0,8,AL
1,AL802,Software Design with Cloud Computing,301.0,306.0,8,AL
2,AL803,Software Design with Mobile Apps and Connected Devices,309.0,337.0,8,AL
3,AL805,Network Management and Cloud Infrastructure,329.0,442.0,8,AL
4,AL810,Quantity Surveying,307.0,349.0,8,AL
5,AL820,Mechanical and Polymer Engineering,300.0,358.0,8,AL
6,AL830,General Nursing,410.0,429.0,8,AL
7,AL832,Psychiatric Nursing,387.0,403.0,8,AL
8,AL836,Nutrition and Health Science,352.0,383.0,8,AL
9,AL837,Sports Science with Exercise Physiology,351.0,392.0,8,AL
10,AL838,Biotechnology,302.0,372.0,8,AL
11,AL839,Microbiology,322.0,371.0,8,AL
12,AL840,Pharmaceutical Sciences,328.0,411.0,8,AL
13,AL841,Athletic and Rehabilitation Therapy,423.0,430.0,8,AL
14,AL842,Bioveterinary Science,310.0,366.0,8,AL
15,AL843,Physical Activity and Health Science,310.0,330.0,8,AL
16,AL850,Business,307.0,356.0,8,AL
17,AL851,Business and Law,301.0,341.0,8,AL
18,AL852,Accounting (with optional placement),290.0,346.0,8,AL
19,AL853,Accounting and Law,305.0,320.0,8,AL
20,AL855,Hospitality Management (with International placement),312.0,357.0,8,AL
21,AL857,Digital Marketing,300.0,360.0,8,AL
22,AL860,Social Care Practice,309.0,338.0,8,AL
23,AL861,Animation and Illustration (portfolio),615.0,899.0,8,AL
24,AL863,Graphic and Digital Design (portfolio),703.0,898.0,8,AL
25,AL864,Early Years Care and Education,307.0,348.0,8,AL
26,AL870,Applied Psychology,409.0,445.0,8,AL
27,CW018,"Business (options, Wexford)",327.0,349.0,8,CW
28,CW028,Early Childhood Education and Care (Wexford),252.0,308.0,8,CW
29,CW038,"Art (portfolio, Wexford)",700.0,700.0,8,CW
30,CW058,Tourism and Event Management (Wexford),252.0,262.0,8,CW
31,CW068,Applied Social Studies - Professional Social Care (Wexford),251.0,280.0,8,CW
32,CW078,Sustainable Farm Management and Agribusiness (Wexford),266.0,320.0,8,CW
33,CW088,Visual Communications and Design (Wexford),309.0,345.0,8,CW
34,CW108,Science (options),261.0,326.0,8,CW
