,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
0,Business and administration,International Business,AC120,,,,,,,,8,American College,,,,,,,,,,,
1,Humanities (except languages),Liberal Arts,AC137,,,,,,,,8,American College,,,,,,,,,,,
2,Arts,"First Year Art & Design (Common Entry,portfolio)",AD101,,,,,,,,8,National College of Art and Design,#,,,,,,,,,,
3,Arts,Graphic Design and Moving Image Design (portfolio),AD102,,,,,,,,8,National College of Art and Design,#,,,,,,,,,,
4,Arts,Textile & Surface Design and Jewellery & Objects (portfolio),AD103,,,,,,,,8,National College of Art and Design,#,,,,,,,,,,
5,Education,"Education & Design or Fine Art (Second Level Teaching,portfolio))",AD202,,,,,,,,8,National College of Art and Design,#,,,,,,,,,,
6,Arts,Fine Art (portfolio),AD204,,,,,,,,8,National College of Art and Design,#,,,,,,,,,,
7,Arts,Fashion Design (portfolio),AD211,,,,,,,,8,National College of Art and Design,#,,,,,,,,,,
8,Arts,Product Design (portfolio),AD212,,,,,,,,8,National College of Art and Design,#,,,,,,,,,,
9,Arts,Visual Culture,AD215,,,,,,,,8,National College of Art and Design,,,,,,,,,,,
10,Arts,Illustration (portfolio),AD217,,,,,,,,8,National College of Art and Design,#,,,,,,,,,,
11,Information and Communication Technologies (ICTs),Interaction Design (portfolio),AD222,,,,,,,,8,National College of Art and Design,#,,,,,,,,,,
12,Information and Communication Technologies (ICTs),Software Design,AL600,,,,,,,,6,Athlone Institute of Technology,,,,,,,,,,,
13,Engineering and engineering trades,Computer Engineering,AL601,,,,,,,,6,Athlone Institute of Technology,,avp,v,,,,,,,,
14,Engineering and engineering trades,Mechanical Engineering,AL602,,,,,,,,6,Athlone Institute of Technology,,,,,,,,,,,
15,Architecture and construction,Civil Engineering,AL604,,,,,,,,6,Athlone Institute of Technology,,,,,,,,,,,
16,Engineering and engineering trades,Music and Instrument Technology,AL605,,,,,,,,6,Athlone Institute of Technology,,avp,,,,,,,,,
17,Health,Pharmacy Technician,AL630,,,,,,,,6,Athlone Institute of Technology,,,,,,,,,,,
18,Health,Dental Nursing,AL631,,,,,,,,6,Athlone Institute of Technology,,,,,,,,,,,
19,Biological and related sciences,Applied Science,AL632,,,,,,,,6,Athlone Institute of Technology,,,,,,,,,,,
20,Business and administration,Business,AL650,,,,,,,,6,Athlone Institute of Technology,,,,,,,,,,,
21,Personal services,Culinary Arts,AL660,,,,,,,,6,Athlone Institute of Technology,,avp,,,,,,,,,
22,Personal services,Bar Supervision,AL661,,,,,,,,6,Athlone Institute of Technology,,avp,v,,,,,,,,
23,Personal services,Business (Sport and Recreation),AL663,,,,,,,,6,Athlone Institute of Technology,,avp,,,,,,,,,
24,Information and Communication Technologies (ICTs),Computer Engineering with Network Infrastructure,AL701,,,,,,,,7,Athlone Institute of Technology,,,,,,,,,,,
25,Information and Communication Technologies (ICTs),Software Design with Artificial Intelligence for Cloud Computing,AL702,,,,,,,,7,Athlone Institute of Technology,,,,,,,,,,,
26,Information and Communication Technologies (ICTs),Software Design with Virtual Reality and Gaming,AL703,,,,,,,,7,Athlone Institute of Technology,,,,,,,,,,,
