,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,hei_code
0,Business and administration,International Business,AC120,209.0,,,,209.0,,280.0,8,American College,,,,,,,,,,,,AC
1,Humanities (except languages),Liberal Arts,AC137,252.0,,,,252.0,,270.0,8,American College,,,,,,,,,,,,AC
2,Arts,"First Year Art & Design (Common Entry,portfolio)",AD101,,,,,,,,8,National College of Art and Design,#,,,,,,,,,,,AD
3,Arts,Graphic Design and Moving Image Design (portfolio),AD102,,,,,,,,8,National College of Art and Design,#,,,,,,,,,,,AD
4,Arts,Textile & Surface Design and Jewellery & Objects (portfolio),AD103,,,,,,,,8,National College of Art and Design,#,,,,,,,,,,,AD
5,Education,"Education & Design or Fine Art (Second Level Teaching,portfolio))",AD202,,,,,,,,8,National College of Art and Design,#,,,,,,,,,,,AD
6,Arts,Fine Art (portfolio),AD204,,,,,,,,8,National College of Art and Design,#,,,,,,,,,,,AD
7,Arts,Fashion Design (portfolio),AD211,,,,,,,,8,National College of Art and Design,#,,,,,,,,,,,AD
8,Arts,Product Design (portfolio),AD212,,,,,,,,8,National College of Art and Design,#,,,,,,,,,,,AD
9,Arts,Visual Culture,AD215,377.0,,320.0,,320.0,,389.0,8,National College of Art and Design,,,,,,,,,,,,AD
10,Arts,Illustration (portfolio),AD217,,,,,,,,8,National College of Art and Design,#,,,,,,,,,,,AD
11,Information and Communication Technologies (ICTs),Interaction Design (portfolio),AD222,,,,,,,,8,National College of Art and Design,#,,,,,,,,,,,AD
12,Information and Communication Technologies (ICTs),Software Design,AL600,,,,,104.0,,279.0,6,Athlone Institute of Technology,,,,,,,,,,,,AL
13,Engineering and engineering trades,Computer Engineering,AL601,,,219.0,,112.0,,192.0,6,Athlone Institute of Technology,,avp,v,,,,,,,,,AL
14,Engineering and engineering trades,Mechanical Engineering,AL602,,,,,260.0,,424.0,6,Athlone Institute of Technology,,,,,,,,,,,,AL
