,CATEGORY (ISCED Description),Course Title,Course Code,R1 Points,R1 Random,R2 Points ,R2 Random,EOS Points,EOS Random,EOS Midpoints,Course Level,HEI,Test/Interview,AVP,v
0,Engineering and engineering trades,Music and Instrument Technology,AL605,,,,,,,,6,Athlone Institute of Technology,,,
1,Health,Pharmacy Technician,AL630,,,,,,,,6,Athlone Institute of Technology,,,
2,Health,Dental Nursing,AL631,,,,,,,,6,Athlone Institute of Technology,,,
3,Biological and related sciences,Applied Science,AL632,,,,,,,,6,Athlone Institute of Technology,,,
4,Business and administration,Business,AL650,,,,,,,,6,Athlone Institute of Technology,,avp,
5,Personal services,Culinary Arts,AL660,,,,,,,,6,Athlone Institute of Technology,,avp,
6,Personal services,Bar Supervision,AL661,,,,,,,,6,Athlone Institute of Technology,,avp,
7,Personal services,Business (Sport and Recreation),AL663,,,,,,,,6,Athlone Institute of Technology,,avp,
8,Information and Communication Technologies (ICTs),Computer Engineering for Network Infrastructure,AL701,,,,,,,,7,Athlone Institute of Technology,,,
9,Information and Communication Technologies (ICTs),Software Design in Artificial Intelligence for Cloud Computing,AL702,,,,,,,,7,Athlone Institute of Technology,,,
10,Information and Communication Technologies (ICTs),Software Design for Virtual Reality and Gaming,AL703,,,,,,,,7,Athlone Institute of Technology,,,
11,Information and Communication Technologies (ICTs),Computer Engineering,AL704,,,,,,,,7,Athlone Institute of Technology,,,
12,Information and Communication Technologies (ICTs),Software Design for Mobile Apps and Connected Devices,AL705,,,,,,,,7,Athlone Institute of Technology,,,
13,Engineering and engineering trades,Mechanical Engineering,AL710,,,,,,,,7,Athlone Institute of Technology,,,
14,Engineering and engineering trades,Mechanical Engineering and Renewable Energy,AL711,,,,,,,,7,Athlone Institute of Technology,,,
15,Engineering and engineering trades,Automation and Robotics,AL712,,,,,,,,7,Athlone Institute of Technology,,,
16,Engineering and engineering trades,Engineering (Common Entry to Automation and Robotics/Renewable/Mech Eng),AL713,,,,,,,,7,Athlone Institute of Technology,,,
17,Engineering and engineering trades,Music and Sound Engineering,AL718,,,,,,,,7,Athlone Institute of Technology,,,
18,Architecture and construction,Civil Engineering,AL721,,,,,,,,7,Athlone Institute of Technology,,,
19,Biological and related sciences,Biotechnology,AL730,,,,,,,,7,Athlone Institute of Technology,,,
20,Veterinary,Veterinary Nursing,AL731,,,,,,,,7,Athlone Institute of Technology,,,
