,CATEGORY (ISCED Description),Course Title,Course Code,R1 Points,R1 Random,R2 Points ,R2 Random,EOS Points,EOS Random,EOS Midpoints,Course Level,HEI,Test/Interview,AVP,v,hei_code
0,Engineering and engineering trades,Music and Instrument Technology,AL605,211.0,,,,211.0,,319.0,6,Athlone Institute of Technology,,,,AL
1,Health,Pharmacy Technician,AL630,308.0,,,,308.0,,409.0,6,Athlone Institute of Technology,,,,AL
2,Health,Dental Nursing,AL631,311.0,,,,311.0,,400.0,6,Athlone Institute of Technology,,,,AL
3,Biological and related sciences,Applied Science,AL632,297.0,,,,297.0,,454.0,6,Athlone Institute of Technology,,,,AL
4,Business and administration,Business,AL650,,,,,,,351.0,6,Athlone Institute of Technology,,avp,,AL
5,Personal services,Culinary Arts,AL660,,,,,,,271.0,6,Athlone Institute of Technology,,avp,,AL
6,Personal services,Bar Supervision,AL661,,,,,153.0,,279.0,6,Athlone Institute of Technology,,avp,,AL
7,Personal services,Business (Sport and Recreation),AL663,,,,,,,311.0,6,Athlone Institute of Technology,,avp,,AL
8,Information and Communication Technologies (ICTs),Computer Engineering for Network Infrastructure,AL701,207.0,,,,207.0,,382.0,7,Athlone Institute of Technology,,,,AL
9,Information and Communication Technologies (ICTs),Software Design in Artificial Intelligence for Cloud Computing,AL702,220.0,,,,220.0,,381.0,7,Athlone Institute of Technology,,,,AL
10,Information and Communication Technologies (ICTs),Software Design for Virtual Reality and Gaming,AL703,211.0,,,,211.0,,349.0,7,Athlone Institute of Technology,,,,AL
11,Information and Communication Technologies (ICTs),Computer Engineering,AL704,210.0,,,,210.0,,368.0,7,Athlone Institute of Technology,,,,AL
12,Information and Communication Technologies (ICTs),Software Design for Mobile Apps and Connected Devices,AL705,250.0,,,,250.0,,323.0,7,Athlone Institute of Technology,,,,AL
13,Engineering and engineering trades,Mechanical Engineering,AL710,243.0,,,,243.0,,340.0,7,Athlone Institute of Technology,,,,AL
14,Engineering and engineering trades,Mechanical Engineering and Renewable Energy,AL711,238.0,,,,238.0,,389.0,7,Athlone Institute of Technology,,,,AL
15,Engineering and engineering trades,Automation and Robotics,AL712,247.0,,,,247.0,,434.0,7,Athlone Institute of Technology,,,,AL
16,Engineering and engineering trades,Engineering (Common Entry to Automation and Robotics/Renewable/Mech Eng),AL713,226.0,,,,226.0,,387.0,7,Athlone Institute of Technology,,,,AL
17,Engineering and engineering trades,Music and Sound Engineering,AL718,242.0,,,,242.0,,363.0,7,Athlone Institute of Technology,,,,AL
18,Architecture and construction,Civil Engineering,AL721,242.0,,,,242.0,,409.0,7,Athlone Institute of Technology,,,,AL
19,Biological and related sciences,Biotechnology,AL730,261.0,,,,261.0,,444.0,7,Athlone Institute of Technology,,,,AL
20,Veterinary,Veterinary Nursing,AL731,421.0,,,,421.0,,498.0,7,Athlone Institute of Technology,,,,AL
21,Physical sciences,Pharmaceutical Sciences (Drug Development and Analysis),AL734,244.0,,,,244.0,,403.0,7,Athlone Institute of Technology,,,,AL
22,Personal services,Exercise and Health Science,AL740,251.0,,,,251.0,,418.0,7,Athlone Institute of Technology,,,,AL
23,Business and administration,Digital Marketing,AL751,241.0,,,,241.0,,398.0,7,Athlone Institute of Technology,,,,AL
24,Business and administration,Business,AL752,223.0,,,,223.0,,412.0,7,Athlone Institute of Technology,,,,AL
25,Personal services,Hotel and Leisure Management,AL761,,,,,,,306.0,7,Athlone Institute of Technology,,avp,,AL
26,Arts,Graphic Design (portfolio),AL763,642.0,,,,642.0,,811.0,7,Athlone Institute of Technology,#,,,AL
27,Welfare,Early Years Care and Education,AL764,260.0,,,,260.0,,408.0,7,Athlone Institute of Technology,,,,AL
